pkg1 file1 pkg2 file2 pairFreq clusterid expected
genomebrowser/gbrender config.h gacore gaproxydispatch.h 6 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender worker.h 6 1 false 
genomebrowser/gbrender config.h genomebrowser/tests asynctest.h 5 1 false 
genomebrowser/gbrender generenderer.h genomebrowser/tests asynctest.h 5 1 false 
genomebrowser gbplot.h genomebrowser/gbrender config.h 4 1 false 
genomebrowser/gbrender chunk.h gacore gaproxydispatch.h 4 1 false 
genomebrowser/tests gbtests.h genomebrowser/gbrender config.h 4 1 false 
genomebrowser gbcolorcontrolset.h genomebrowser/gbrender config.h 4 1 false 
genomebrowser/tests gbtests.h genomebrowser/gbrender generenderer.h 4 1 false 
genomebrowser/gbrender worker.h gacore gaproxyreader.h 4 1 false 
genomebrowser gbzoommanager.h genomebrowser/gbrender config.h 3 1 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender pileupdetail.h 3 1 false 
genomebrowser/gbrender transcript.h genomebrowser/tests asynctest.h 3 1 false 
gacore gafeature.h genomebrowser/gbrender generenderer.h 3 1 false 
genomebrowser/gbrender worker.h genomebrowser gbplotrenderer.h 3 1 false 
genomebrowser/gbrender config.h genomebrowser gbcontroltree.h 3 1 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender coveragerenderer.h 3 1 false 
gacore gaproxydispatch.h genomebrowser gbplotrenderer.h 3 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender coverhistogram.h 3 1 false 
ghicore pvariant.h genomebrowser/gbrender generenderer.h 3 1 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender pileuprenderer.h 3 1 false 
gacore gafeature.h genomebrowser/gbrender config.h 3 1 false 
genomebrowser/gbrender transcript.h gacore gafeature.h 3 1 false 
genomebrowser/gbrender rendererbase.h gacore gaproxydispatch.h 3 1 false 
genomebrowser/gbrender config.h genomebrowser gbplotrenderer.h 3 1 false 
genomebrowser/gbrender transcript.h ghicore pvariant.h 3 1 false 
genomebrowser gbplotgroup.h genomebrowser/gbrender config.h 3 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender pileupagg.h 3 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender generenderer.h 3 1 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender worker.h 3 1 false 
ghicore pvariant.h genomebrowser/gbrender config.h 3 1 false 
genomebrowser/gbrender config.h gacore idf2readerworker.h 3 1 false 
gacore gafeaturereaderworker.h genomebrowser/gbrender config.h 3 1 false 
genomebrowser/gbrender config.h genomebrowser gbplotview.h 3 1 false 
gacore gafeaturereader.h genomebrowser/gbrender config.h 3 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender pileuprenderer.h 3 1 false 
genomebrowser/gbrender chunk.h genomebrowser/tests asynctest.h 3 1 false 
gacore gafeature.h ghicore pvariant.h 3 1 false 
gacore gaproxyreader.h genomebrowser/gbrender coveragerenderer.h 2 1 false 
genomebrowser/gbrender transcript.h genomebrowser/tests gbtests.h 2 1 false 
genomebrowser/gbrender label.h genomebrowser/tests gbtests.h 2 1 false 
package package_svs_mac.sh pbat fammanager.h 2 2 false 
genomebrowser gbplotview.h genomebrowser/gbrender worker.h 2 1 false 
genomebrowser/gbrender seqrenderer.h gacore gasourceinfo.h 2 3 false 
gacore gafeaturereaderworker.h genomebrowser gbplotview.h 2 1 false 
gacore gafeaturereaderworker.h genomebrowser gbplot.h 2 1 false 
genomebrowser/gbrender bamutil.h genomebrowser/tests asynctest.h 2 1 false 
genomebrowser/gbrender worker.h gacore gasourceinfo.h 2 0 false 
genomebrowser/gbrender worker.h gacore dispatch.h 2 1 false 
gacore gaproxydispatch.h genomebrowser gbview.h 2 1 false 
genomebrowser/gbrender config.h genomebrowser gbcontrolset.h 2 1 false 
genomebrowser/gbrender bamutil.h gacore gasourceinfo.h 2 0 false 
genomebrowser/gbrender pileuprenderer.h genomebrowser gbplotrenderer.h 2 1 false 
genomebrowser/gbrender seqrenderer.h gacore packeddataschema.h 2 3 false 
genomebrowser gbplotview.h gacore gaproxydispatch.h 2 1 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender variantrenderer.h 2 1 false 
gacore gafeature.h genomebrowser/gbrender bamutil.h 2 1 false 
gacore gafeaturereader.h genomebrowser gbplotrenderer.h 2 1 false 
genomebrowser/gbrender chunk.h gacore gasourceinfo.h 2 0 false 
genomebrowser/tests gbtests.h genomebrowser/gbrender pileupdetail.h 2 1 false 
genomebrowser gbplotstate.h genomebrowser/gbrender config.h 2 1 false 
package package_svs_win.sh pbat analysis.h 2 4 false 
gacore gasourceinfo.h genomebrowser/gbrender sequtil.h 2 3 false 
genomebrowser gbplot.h genomebrowser/gbrender worker.h 2 1 false 
genomebrowser gbrootstate.h genomebrowser/gbrender config.h 2 1 false 
genomebrowser/gbrender coveragerenderer.h gacore packeddataschema.h 2 0 false 
genomebrowser gbplotview.h gacore gafeaturereader.h 2 1 false 
gacore gaproxydispatch.h genomebrowser gbplot.h 2 1 false 
genomebrowser/gbrender pileuprenderer.h gacore packeddataschema.h 2 0 false 
genomebrowser/gbrender bamutil.h gacore packeddataschema.h 2 0 false 
ghicore pvariant.h genomebrowser/gbrender bamutil.h 2 1 false 
gacore gaproxydispatch.h genomebrowser/gbrender sequtil.h 2 0 false 
genomebrowser/gbrender seqrenderer.h genomebrowser gbplotrenderer.h 2 0 false 
gacore gasourceinfo.h genomebrowser/gbrender cytobandrenderer.h 2 3 false 
gacore gasourceinfo.h genomebrowser/gbrender coveragerenderer.h 2 0 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender seqrenderer.h 2 0 false 
gacore gafeaturereader.h genomebrowser gbplot.h 2 1 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender pileupagg.h 2 1 false 
package package_svs_mac.sh pbat analysis.h 2 0 false 
genomebrowser/gbrender seqrenderer.h gacore gaproxyreader.h 2 0 false 
genomebrowser/tests gbtests.h ghicore pvariant.h 2 1 false 
gacore gasourceinfo.h genomebrowser/gbrender generenderer.h 2 0 false 
genomebrowser/gbrender worker.h gacore gathreadmanager.h 2 1 false 
genomebrowser/tests asynctest.h genomebrowser/gbrender cytobandrenderer.h 2 0 false 
genomebrowser/gbrender generenderer.h gacore packeddataschema.h 2 0 false 
gacore bamreaderworker.h genomebrowser/gbrender config.h 2 1 false 
gacore gasourceinfo.h genomebrowser/gbrender pileuprenderer.h 2 0 false 
gacore gasourceinfo.h genomebrowser/gbrender config.h 2 0 false 
gacore gaproxyreader.h genomebrowser/gbrender sequtil.h 2 0 false 
gacore packeddataschema.h genomebrowser/gbrender cytobandrenderer.h 2 3 false 
genomebrowser/gbrender seqrenderer.h gacore gaproxydispatch.h 2 0 false 
genomebrowser/gbrender worker.h genomebrowser/tests gbtests.h 2 1 false 
genomebrowser gbplot.h gacore bamfile.h 2 1 false 
genomebrowser/gbrender chunk.h gacore packeddataschema.h 2 0 false 
gacore gafeature.h genomebrowser/tests asynctest.h 2 1 false 
genomebrowser/gbrender worker.h gacore request.h 2 1 false 
genomebrowser/gbrender coveragerenderer.h genomebrowser gbplotrenderer.h 2 1 false 
genomebrowser gbview.h genomebrowser/gbrender worker.h 2 1 false 
gacore gafeaturereader.h genomebrowser gbplotgroup.h 2 1 false 
gacore gaproxyreader.h genomebrowser gbplotrenderer.h 2 1 false 
genomebrowser/gbrender pileuprenderer.h genomebrowser/tests gbtests.h 2 1 false 
genomebrowser/gbrender worker.h gacore packeddataschema.h 2 0 false 
genomebrowser gbdata.h genomebrowser/gbrender config.h 2 1 false 
genomebrowser/gbrender config.h gacore packeddataschema.h 2 0 false 
genomebrowser/tests gbtests.h genomebrowser/gbrender bamutil.h 2 1 false 
genomebrowser/gbrender bamutil.h gacore gaproxyreader.h 2 1 false 
genomebrowser gbplotstate.h genomebrowser/gbrender worker.h 2 1 false 
genomebrowser/gbrender stackengine.h genomebrowser/tests gbtests.h 2 1 false 
gacore idffile.h genomebrowser gbplot.h 2 1 false 
gacore gafeaturereaderworker.h genomebrowser gbplotgroup.h 2 1 false 
