pkg1 file1 pkg2 file2 pairFreq clusterid expected
ghicore pvariant.h gacore gafield.h 8 1 false 
ghicore pvariant.h gacore gasourceinfo.h 8 1 false 
ghicore pvariant.h gacore tsftablereader.h 7 1 false 
gacore vcffile.h ghicore pvariant.h 7 1 false 
ghicore pvariant.h gacore idffile.h 5 1 false 
ghicore pvariant.h gacore gaglobal.h 5 1 false 
gacore gafeature.h ghicore pvariant.h 4 1 false 
ghicore pvariant.h gacore packeddataschema.h 4 1 false 
ghicore pvariant.h gacore dsf3file.h 4 1 false 
genomebrowser gbactionmanager.h downloadmanager aria2downloadprocess.h 3 2 false 
ghicore pvariant.h gacore gafeaturereader.h 3 1 false 
ghicore pvariant.h gacore httpreaderworker.h 3 1 false 
gacore vcffile.h 3rdparty/tabix tabix.h 3 1 false 
genomebrowser/gbrender variantmaprenderer.h genomebrowser gbplotrenderer.h 3 3 false 
gacore packeddata.h ghicore pvariant.h 3 1 false 
appcore gapp.h package package_gb_lin.sh 3 4 false 
gacore gasourceinfo.h ghicore dsfdataset.h 2 1 false 
gacore gareaderresource.h ghicore pvariant.h 2 1 false 
3rdparty/bamtools/src/api BamReader.h gacore idf2readerworker.h 2 5 false 
genomebrowser gbnodeoptionsstate.h svs markerstatswindow.h 2 6 false 
genomebrowser gbplot.h svs appversion.h 2 7 false 
gacore gafeaturereaderworker.h 3rdparty/bamtools/src/api BamReader.h 2 5 false 
svs markerstatswindow.h genomebrowser gbplotrenderer.h 2 0 false 
gbapp version.h genomebrowser gbplotrenderer.h 2 3 false 
ghicore pvariant.h gacore vcfreaderworker.h 2 1 false 
gacore vcffile.h 3rdparty/bamtools/src/api BamReader.h 2 0 false 
3rdparty/bamtools/src/api BamReader.h gacore vcfreaderworker.h 2 0 false 
gacore dsf3file.h ghicore sqlitedatabase.h 2 1 false 
ghicore pvariant.h gacore bamfile.h 2 1 false 
gbapp version.h genomebrowser gbnodeoptionsstate.h 2 0 false 
gacore tsffile.h ghicore sqlitedatabase.h 2 1 false 
ghicore sqlitedatabase.h gacore gafeaturereader.h 2 1 false 
gacore gasourceinfo.h ghicore dataset.h 2 1 false 
ghicore pvariant.h gacore idf2readerworker.h 2 0 false 
3rdparty/bamtools/src/api BamReader.h gacore bamreaderworker.h 2 5 false 
genomebrowser/gbrender variantmaprenderer.h genomebrowser gbscaleengine.h 2 3 false 
gbapp version.h genomebrowser gbscaleengine.h 2 3 false 
ghicore dsfdataset.h gacore gafield.h 2 1 false 
gacore vcffile.h 3rdparty/tabix kstring.h 2 1 false 
gacore vcfreaderworker.h 3rdparty/tabix tabix.h 2 1 false 
gacore vcfreaderworker.h 3rdparty/tabix kstring.h 2 1 false 
3rdparty/tabix kstring.h gacore garesource.h 2 1 false 
ghicore dsfdataset.h gacore gaglobal.h 2 1 false 
gbapp version.h svs appversion.h 2 0 false 
ghicore dataset.h gacore gafield.h 2 1 false 
3rdparty/bamtools/src/api BamReader.h gacore httpreaderworker.h 2 0 false 
genomebrowser gbplotrenderer.h svs appversion.h 2 0 false 
svs markerstatswindow.h genomebrowser gbscaleengine.h 2 0 false 
ghicore pvariant.h gacore garesource.h 2 1 false 
gacore bamreaderworker.h ghicore pvariant.h 2 0 false 
svs markerstatswindow.h genomebrowser gbplot.h 2 0 false 
3rdparty/bamtools/src/api BamReader.h gacore tsfreaderworker.h 2 5 false 
ghicore pvariant.h gacore tsfreaderworker.h 2 0 false 
gbapp version.h svs markerstatswindow.h 2 0 false 
genomebrowser gbconsole.h ghicore pvariant.h 2 1 false 
genomebrowser gbplotcanvas.h svs appversion.h 2 7 false 
ghicore dsfdataset.h gacore tsftablereader.h 2 1 false 
gacore garesource.h 3rdparty/tabix tabix.h 2 1 false 
gacore gareaderresource.h ghicore dsfdataset.h 2 1 false 
gacore tsffile.h ghicore pvariant.h 2 1 false 
3rdparty/bamtools/src/api BamReader.h gacore tsftablereader.h 2 0 false 
gbapp version.h genomebrowser gbplotcanvas.h 2 0 false 
genomebrowser gbnodeoptionsstate.h svs appversion.h 2 0 false 
svs markerstatswindow.h genomebrowser gbplotcanvas.h 2 0 false 
ghicore sqlitedatabase.h gacore gafield.h 2 1 false 
gbapp version.h genomebrowser gbplot.h 2 0 false 
ghicore pvariant.h gacore gafeaturereaderworker.h 2 0 false 
3rdparty/bamtools/src/api BamReader.h gacore localreaderworker.h 2 5 false 
gacore idffile.h ghicore sqlitedatabase.h 2 1 false 
genomebrowser gbscaleengine.h svs appversion.h 2 0 false 
3rdparty/bamtools/src/api BamReader.h gacore gafeaturereader.h 2 0 false 
gacore garesource.h 3rdparty/tabix bgzf.h 1 1 false 
package package_gb_mac.sh genomebrowser/gbrender variantrenderer.h 1 8 false 
package package_tools_lin.sh gacore garesource.h 1 1 false 
genomebrowser/gbrender util.h appcore gapp.h 1 4 false 
downloadmanager downloadwindow.h gbapp standalonegb.h 1 9 false 
gacore vcfreaderworker.h package package_tools_mac.sh 1 1 false 
genomebrowser/gbrender variantmaprenderer.h genomebrowser gbscale.h 1 3 false 
ghicore sqlitedatabase.h gacore httpreaderworker.h 1 1 false 
ghicore pvariant.h package package_tools_win.sh 1 1 false 
ghicore pvariant.h svs apipackedschemaparser.h 1 1 false 
downloadmanager downloadutil.h genomebrowser gbdata.h 1 10 false 
genomebrowser/gbrender chunk.h gacore gaglobal.h 1 1 false 
gacore gasourceinfo.h gacore gafield.h 10 1 true 
genomebrowser/gbrender variantmaprenderer.h genomebrowser/gbrender config.h 8 3 true 
gacore idffile.h gacore gasourceinfo.h 7 1 true 
